Year,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
15012,15427556.24,15427556.24,15427556.24,15427556.24,16560064.36,16560064.36,16560064.36,16560064.36,16560064.36,17780924.26,17780924.26,17780924.26,17780924.26,17780924.26,18963698.64,18963698.64,18963698.64,18963698.64,18963698.64,19824426.49,19824426.49,19824426.49,19824426.49,19824426.49
15013,22622177.08,22622177.08,22622177.08,22622177.08,24012523.76,24012523.76,24012523.76,24012523.76,24012523.76,25498492.35,25498492.35,25498492.35,25498492.35,25498492.35,26948180.29,26948180.29,26948180.29,26948180.29,26948180.29,28105171.94,28105171.94,28105171.94,28105171.94,28105171.94
15014,12672860.35,12672860.35,12672860.35,12672860.35,13161263.4,13161263.4,13161263.4,13161263.4,13161263.4,13707528.97,13707528.97,13707528.97,13707528.97,13707528.97,14308720.59,14308720.59,14308720.59,14308720.59,14308720.59,15065063.67,15065063.67,15065063.67,15065063.67,15065063.67
15015,16697335.47,16697335.47,16697335.47,16697335.47,17837915.39,17837915.39,17837915.39,17837915.39,17837915.39,19083546.54,19083546.54,19083546.54,19083546.54,19083546.54,20426541.85,20426541.85,20426541.85,20426541.85,20426541.85,22035238.95,22035238.95,22035238.95,22035238.95,22035238.95
15016,17284536.4,17284536.4,17284536.4,17284536.4,18597120.63,18597120.63,18597120.63,18597120.63,18597120.63,20052433.27,20052433.27,20052433.27,20052433.27,20052433.27,21372295.92,21372295.92,21372295.92,21372295.92,21372295.92,22044893.99,22044893.99,22044893.99,22044893.99,22044893.99
15017,17178973.6,17178973.6,17178973.6,17178973.6,18366381.91,18366381.91,18366381.91,18366381.91,18366381.91,19662086.3,19662086.3,19662086.3,19662086.3,19662086.3,20982871.88,20982871.88,20982871.88,20982871.88,20982871.88,22386559.59,22386559.59,22386559.59,22386559.59,22386559.59
15018,11841171.2,11841171.2,11841171.2,11841171.2,12770805.57,12770805.57,12770805.57,12770805.57,12770805.57,13801557.22,13801557.22,13801557.22,13801557.22,13801557.22,14781498.18,14781498.18,14781498.18,14781498.18,14781498.18,15561603.85,15561603.85,15561603.85,15561603.85,15561603.85
15019,15127990.13,15127990.13,15127990.13,15127990.13,18192065.87,18192065.87,18192065.87,18192065.87,18192065.87,21850586.92,21850586.92,21850586.92,21850586.92,21850586.92,25569725.39,25569725.39,25569725.39,25569725.39,25569725.39,28564000.74,28564000.74,28564000.74,28564000.74,28564000.74
15020,17933877.25,17933877.25,17933877.25,17933877.25,19665433.19,19665433.19,19665433.19,19665433.19,19665433.19,21621413.85,21621413.85,21621413.85,21621413.85,21621413.85,23528858.38,23528858.38,23528858.38,23528858.38,23528858.38,24951412.21,24951412.21,24951412.21,24951412.21,24951412.21
15021,15770518.29,15770518.29,15770518.29,15770518.29,16835872.74,16835872.74,16835872.74,16835872.74,16835872.74,17982567.79,17982567.79,17982567.79,17982567.79,17982567.79,19175019.87,19175019.87,19175019.87,19175019.87,19175019.87,20361383.71,20361383.71,20361383.71,20361383.71,20361383.71
15022,10274968.83,10274968.83,10274968.83,10274968.83,10828287.82,10828287.82,10828287.82,10828287.82,10828287.82,11415428.45,11415428.45,11415428.45,11415428.45,11415428.45,12007703.51,12007703.51,12007703.51,12007703.51,12007703.51,12618201.99,12618201.99,12618201.99,12618201.99,12618201.99
16001,1125686.216,1125686.216,1125686.216,1125686.216,1173579.941,1173579.941,1173579.941,1173579.941,1173579.941,1223569.365,1223569.365,1223569.365,1223569.365,1223569.365,1294604.831,1294604.831,1294604.831,1294604.831,1294604.831,1456414.51,1456414.51,1456414.51,1456414.51,1456414.51
16002,1265676.412,1265676.412,1265676.412,1265676.412,1292389.149,1292389.149,1292389.149,1292389.149,1292389.149,1319447.078,1319447.078,1319447.078,1319447.078,1319447.078,1346865.349,1346865.349,1346865.349,1346865.349,1346865.349,1375712.745,1375712.745,1375712.745,1375712.745,1375712.745
16003,24532875.54,24532875.54,24532875.54,24532875.54,25317606.33,25317606.33,25317606.33,25317606.33,25317606.33,26151138.02,26151138.02,26151138.02,26151138.02,26151138.02,27028281.05,27028281.05,27028281.05,27028281.05,27028281.05,28043050.58,28043050.58,28043050.58,28043050.58,28043050.58
16004,2456287.412,2456287.412,2456287.412,2456287.412,2634287.02,2634287.02,2634287.02,2634287.02,2634287.02,2820106.949,2820106.949,2820106.949,2820106.949,2820106.949,2991739.773,2991739.773,2991739.773,2991739.773,2991739.773,3082855.557,3082855.557,3082855.557,3082855.557,3082855.557
17001,15778743.41,15778743.41,15778743.41,15778743.41,16807582.32,16807582.32,16807582.32,16807582.32,16807582.32,17900752.93,17900752.93,17900752.93,17900752.93,17900752.93,18981178.33,18981178.33,18981178.33,18981178.33,18981178.33,19911342.86,19911342.86,19911342.86,19911342.86,19911342.86
17002,24736410.32,24736410.32,24736410.32,24736410.32,26883537.89,26883537.89,26883537.89,26883537.89,26883537.89,29172964.78,29172964.78,29172964.78,29172964.78,29172964.78,31460302.68,31460302.68,31460302.68,31460302.68,31460302.68,33556687.78,33556687.78,33556687.78,33556687.78,33556687.78
17003,15606223.16,15606223.16,15606223.16,15606223.16,16262572.86,16262572.86,16262572.86,16262572.86,16262572.86,16939561.21,16939561.21,16939561.21,16939561.21,16939561.21,17621349.23,17621349.23,17621349.23,17621349.23,17621349.23,18324270.79,18324270.79,18324270.79,18324270.79,18324270.79
17004,12312596.15,12312596.15,12312596.15,12312596.15,12938560.33,12938560.33,12938560.33,12938560.33,12938560.33,13607854.04,13607854.04,13607854.04,13607854.04,13607854.04,14295661.49,14295661.49,14295661.49,14295661.49,14295661.49,15034120.34,15034120.34,15034120.34,15034120.34,15034120.34
17005,16241662.93,16241662.93,16241662.93,16241662.93,16991770.65,16991770.65,16991770.65,16991770.65,16991770.65,17776748.12,17776748.12,17776748.12,17776748.12,17776748.12,18627989.92,18627989.92,18627989.92,18627989.92,18627989.92,19680552.08,19680552.08,19680552.08,19680552.08,19680552.08
17006,29280194.45,29280194.45,29280194.45,29280194.45,31636543.8,31636543.8,31636543.8,31636543.8,31636543.8,34191813.59,34191813.59,34191813.59,34191813.59,34191813.59,36705060.34,36705060.34,36705060.34,36705060.34,36705060.34,38668652.13,38668652.13,38668652.13,38668652.13,38668652.13
17007,8419409.157,8419409.157,8419409.157,8419409.157,8759900.914,8759900.914,8759900.914,8759900.914,8759900.914,9115806.725,9115806.725,9115806.725,9115806.725,9115806.725,9461063.722,9461063.722,9461063.722,9461063.722,9461063.722,9759811.38,9759811.38,9759811.38,9759811.38,9759811.38
17008,12323021.92,12323021.92,12323021.92,12323021.92,12706842.61,12706842.61,12706842.61,12706842.61,12706842.61,13113092.99,13113092.99,13113092.99,13113092.99,13113092.99,13486559.91,13486559.91,13486559.91,13486559.91,13486559.91,13726757,13726757,13726757,13726757,13726757
21001,7585745.4,7585745.4,7585745.4,7585745.4,7894694.878,7894694.878,7894694.878,7894694.878,7894694.878,8209506.11,8209506.11,8209506.11,8209506.11,8209506.11,8510963.251,8510963.251,8510963.251,8510963.251,8510963.251,8754441.945,8754441.945,8754441.945,8754441.945,8754441.945
21002,25390788.74,25390788.74,25390788.74,25390788.74,27670764.56,27670764.56,27670764.56,27670764.56,27670764.56,30086890.26,30086890.26,30086890.26,30086890.26,30086890.26,32408640.63,32408640.63,32408640.63,32408640.63,32408640.63,34010574.46,34010574.46,34010574.46,34010574.46,34010574.46
21003,10490988.83,10490988.83,10490988.83,10490988.83,11141720.31,11141720.31,11141720.31,11141720.31,11141720.31,11817478.72,11817478.72,11817478.72,11817478.72,11817478.72,12454162.63,12454162.63,12454162.63,12454162.63,12454162.63,12857249.74,12857249.74,12857249.74,12857249.74,12857249.74
21004,14307855.42,14307855.42,14307855.42,14307855.42,14765140.66,14765140.66,14765140.66,14765140.66,14765140.66,15231063.64,15231063.64,15231063.64,15231063.64,15231063.64,15715176.32,15715176.32,15715176.32,15715176.32,15715176.32,16261559.68,16261559.68,16261559.68,16261559.68,16261559.68
21005,29879392.84,29879392.84,29879392.84,29879392.84,31477992.26,31477992.26,31477992.26,31477992.26,31477992.26,33149824.35,33149824.35,33149824.35,33149824.35,33149824.35,34713637.36,34713637.36,34713637.36,34713637.36,34713637.36,35882733.02,35882733.02,35882733.02,35882733.02,35882733.02
