Year,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
15014,18820.85808,19169.92404,19379.5253,20126.69016,20560.61639,21122.36296,22010.9075,22799.04797,22785.27087,23979.39088,24624.93734,25017.7715,25523.29702,25618.67447,25063.54769,24519.05768,24748.46458,24970.24159,25173.59095
15015,23119.42774,23537.82412,23731.13503,24633.65688,25165.80482,25845.33219,26978.07913,27959.53212,27943.81619,29420.72092,30239.91208,31932.27865,33458.44209,33612.20407,32865.17367,32151.19824,32475.65295,32769.65473,33030.01322
15016,5070.870685,5201.063319,5319.243584,5557.695823,5699.736311,5876.345927,6121.109419,6405.630458,6411.295631,6856.09337,7065.936297,7188.206988,7335.387614,7366.337731,7196.988759,7040.638725,7107.011959,7171.267911,7227.928779
15017,7056.439322,7186.973203,7259.368795,7543.902242,7719.528823,7954.17824,8293.923002,8664.270549,8663.421756,9179.258851,9461.283374,9632.54973,9831.37833,9898.197962,9722.341128,9511.129384,9621.571108,9729.285753,9818.03493
15018,12222.12907,12441.30579,12545.84839,13023.21844,13315.3374,13708.6693,14364.98802,14946.84127,14963.47796,15813.81307,16356.31234,16644.50251,16986.61236,17056.00172,16697.73777,16334.9898,16493.0671,16644.66931,16777.23727
15019,4467.050957,4580.90474,4828.562103,5144.179756,5338.352222,5556.601482,5854.991373,6268.436488,6352.032762,6928.014655,7310.281424,7553.624624,7776.373581,7862.150802,7707.768306,7540.321935,7656.420674,7730.889213,7812.920895
15020,4258.369444,4351.627524,4411.057598,4644.543866,4781.935976,4948.394995,5172.636767,5457.227344,5493.983804,5904.8438,6179.638917,6356.637744,6555.395501,6582.209938,6439.688176,6299.790054,6360.426945,6445.327944,6496.625537
15021,3586.883015,3657.91126,3691.93331,3848.454832,3933.618466,4041.926227,4206.823863,4382.388101,4405.51608,4736.005867,4927.154626,5029.447697,5133.480661,5191.693858,5084.172676,4973.722242,5029.572085,5077.429796,5118.631594
15022,3643.008533,3708.870582,3743.913405,3901.42518,3986.694886,4101.416641,4273.319859,4433.152158,4442.52683,4731.231356,4890.915407,4987.777843,5089.431896,5109.31407,5022.963577,4913.84284,4997.687265,5051.871832,5096.772571
16001,3511.245665,3579.238202,3611.045784,3746.739319,3826.896341,3927.857204,4085.964027,4231.052305,4227.652449,4440.760183,4558.524623,4619.524318,4711.634716,4728.472248,4617.814547,4517.495388,4557.398116,4597.558395,4647.968964
